21:16:34.905 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.906 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.907 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.908 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.909 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.910 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.911 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.912 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.913 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.914 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.915 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.916 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.917 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.918 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.919 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.920 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.921 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.922 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.924 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.924 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.925 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.926 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.927 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.928 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.929 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.930 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.931 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.932 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.933 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.934 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.935 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.936 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.937 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.938 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.939 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.940 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.941 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.942 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.943 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.944 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.945 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.946 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.947 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.948 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.949 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.950 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.951 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.952 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.953 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.954 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.955 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.956 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.957 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.958 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.959 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.960 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.961 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.962 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.963 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.964 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.965 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.966 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.967 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.968 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.969 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.970 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.971 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.972 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.973 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.974 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
